Alert ID,Ticker,Name,Description,Time
1562001747,"BITSTAMP:BTCUSD, 15m",15M BTC Skew,"JS Skewed Level Strategy (, 14, 70, -30): order sell @ 2.702433 filled on BTCUSD. New strategy position is 0",2024-09-19T00:00:02Z
1562001747,"BITSTAMP:BTCUSD, 15m",15M BTC Skew,"JS Skewed Level Strategy (, 14, 70, -30): order buy @ 2.702433 filled on BTCUSD. New strategy position is 2.702433",2024-09-18T23:30:03Z
1562048005,"BATS:NVDA, 5m",5M NVDA Skew,"JS Skewed Level Strategy (, 14, 70, -30): order buy @ 2248 filled on NVDA. New strategy position is 2248",2024-09-18T19:30:00Z
1562048005,"BATS:NVDA, 5m",5M NVDA Skew,"JS Skewed Level Strategy (, 14, 70, -30): order sell @ 2204 filled on NVDA. New strategy position is 0",2024-09-18T18:35:00Z
1562001747,"BITSTAMP:BTCUSD, 15m",15M BTC Skew,"JS Skewed Level Strategy (, 14, 70, -30): order sell @ 2.732473 filled on BTCUSD. New strategy position is 0",2024-09-18T18:30:02Z
1562053593,"BATS:OXY, 15m",15M OXY Skew,"JS Skewed Level Strategy (, 14, 70, -30): order sell @ 582 filled on OXY. New strategy position is 0",2024-09-18T18:30:00Z
1562039142,"BATS:KOLD, 5m",5M KOLD Equal,"JS Equal Level Strategy (, 14, 50, -50): order sell @ 4036 filled on KOLD. New strategy position is 0",2024-09-18T18:21:16Z
1562048005,"BATS:NVDA, 5m",5M NVDA Skew,"JS Skewed Level Strategy (, 14, 70, -30): order buy @ 2204 filled on NVDA. New strategy position is 2204",2024-09-18T17:50:01Z
1562054559,"BATS:OXY, 4h",4HR OXY Equal,"JS Equal Level Strategy (, 14, 50, -50): order sell @ 5279 filled on OXY. New strategy position is 0",2024-09-18T17:30:08Z
1563012068,"BATS:SMH, 4h",2HR SMH Skew,"JS Skewed Level Strategy (, 14, 70, -30): order sell @ 359 filled on SMH. New strategy position is 0",2024-09-18T17:30:07Z
1562039142,"BATS:KOLD, 5m",5M KOLD Equal,"JS Equal Level Strategy (, 14, 50, -50): order buy @ 4036 filled on KOLD. New strategy position is 4036",2024-09-18T17:11:53Z
1562048005,"BATS:NVDA, 5m",5M NVDA Skew,"JS Skewed Level Strategy (, 14, 70, -30): order sell @ 2198 filled on NVDA. New strategy position is 0",2024-09-18T17:00:00Z
1562039142,"BATS:KOLD, 5m",5M KOLD Equal,"JS Equal Level Strategy (, 14, 50, -50): order sell @ 4065 filled on KOLD. New strategy position is 0",2024-09-18T14:20:20Z
1562039142,"BATS:KOLD, 5m",5M KOLD Equal,"JS Equal Level Strategy (, 14, 50, -50): order buy @ 4065 filled on KOLD. New strategy position is 4065",2024-09-18T13:50:27Z
1558488691,"BATS:SOXL, 2h",2HR SOXL  Equal,"JS Equal Level Strategy (, 14, 50, -50): order buy @ 107512 filled on SOXL. New strategy position is 107512",2024-09-18T13:30:00Z
1562001747,"BITSTAMP:BTCUSD, 15m",15M BTC Skew,"JS Skewed Level Strategy (, 14, 70, -30): order buy @ 2.732473 filled on BTCUSD. New strategy position is 2.732473",2024-09-18T11:15:04Z
1562001747,"BITSTAMP:BTCUSD, 15m",15M BTC Skew,"JS Skewed Level Strategy (, 14, 70, -30): order sell @ 2.702631 filled on BTCUSD. New strategy position is 0",2024-09-18T04:00:05Z
1562001747,"BITSTAMP:BTCUSD, 15m",15M BTC Skew,"JS Skewed Level Strategy (, 14, 70, -30): order buy @ 2.702631 filled on BTCUSD. New strategy position is 2.702631",2024-09-18T01:45:12Z
1562001747,"BITSTAMP:BTCUSD, 15m",15M BTC Skew,"JS Skewed Level Strategy (, 14, 70, -30): order sell @ 2.704741 filled on BTCUSD. New strategy position is 0",2024-09-17T23:45:00Z
1562053593,"BATS:OXY, 15m",15M OXY Skew,"JS Skewed Level Strategy (, 14, 70, -30): order buy @ 582 filled on OXY. New strategy position is 582",2024-09-17T18:45:09Z
1562039142,"BATS:KOLD, 5m",5M KOLD Equal,"JS Equal Level Strategy (, 14, 50, -50): order sell @ 4010 filled on KOLD. New strategy position is 0",2024-09-17T17:25:07Z
1562039142,"BATS:KOLD, 5m",5M KOLD Equal,"JS Equal Level Strategy (, 14, 50, -50): order buy @ 4010 filled on KOLD. New strategy position is 4010",2024-09-17T16:50:09Z
1562048005,"BATS:NVDA, 5m",5M NVDA Skew,"JS Skewed Level Strategy (, 14, 70, -30): order buy @ 2198 filled on NVDA. New strategy position is 2198",2024-09-17T15:25:02Z
1562039142,"BATS:KOLD, 5m",5M KOLD Equal,"JS Equal Level Strategy (, 14, 50, -50): order sell @ 4103 filled on KOLD. New strategy position is 0",2024-09-17T15:00:04Z
1565014948,"BATS:V, 2h",2HR V Equal,"JS Equal Level Strategy (, 14, 50, -50): order sell @ 165 filled on V. New strategy position is 0",2024-09-17T13:30:03Z
1562053593,"BATS:OXY, 15m",15M OXY Skew,"JS Skewed Level Strategy (, 14, 70, -30): order sell @ 591 filled on OXY. New strategy position is 0",2024-09-17T13:30:01Z
1559248996,"BATS:FAS, 2h",2HR FAS Equal,"JS Equal Level Strategy (, 14, 50, -50): order sell @ 4683 filled on FAS. New strategy position is 0",2024-09-17T13:30:00Z
1562048005,"BATS:NVDA, 5m",5M NVDA Skew,"JS Skewed Level Strategy (, 14, 70, -30): order sell @ 2186 filled on NVDA. New strategy position is 0",2024-09-17T13:30:00Z
1562001747,"BITSTAMP:BTCUSD, 15m",15M BTC Skew,"JS Skewed Level Strategy (, 14, 70, -30): order buy @ 2.704741 filled on BTCUSD. New strategy position is 2.704741",2024-09-17T10:00:01Z
1562001747,"BITSTAMP:BTCUSD, 15m",15M BTC Skew,"JS Skewed Level Strategy (, 14, 70, -30): order sell @ 2.737421 filled on BTCUSD. New strategy position is 0",2024-09-17T04:45:04Z
1562001747,"BITSTAMP:BTCUSD, 15m",15M BTC Skew,"JS Skewed Level Strategy (, 14, 70, -30): order buy @ 2.737421 filled on BTCUSD. New strategy position is 2.737421",2024-09-17T01:30:00Z
1562001747,"BITSTAMP:BTCUSD, 15m",15M BTC Skew,"JS Skewed Level Strategy (, 14, 70, -30): order sell @ 2.712693 filled on BTCUSD. New strategy position is 0",2024-09-17T00:15:00Z
1562048005,"BATS:NVDA, 5m",5M NVDA Skew,"JS Skewed Level Strategy (, 14, 70, -30): order buy @ 2186 filled on NVDA. New strategy position is 2186",2024-09-16T19:15:01Z
1562039142,"BATS:KOLD, 5m",5M KOLD Equal,"JS Equal Level Strategy (, 14, 50, -50): order buy @ 4103 filled on KOLD. New strategy position is 4103",2024-09-16T18:52:38Z
1562048005,"BATS:NVDA, 5m",5M NVDA Skew,"JS Skewed Level Strategy (, 14, 70, -30): order sell @ 2183 filled on NVDA. New strategy position is 0",2024-09-16T17:35:00Z
1562039142,"BATS:KOLD, 5m",5M KOLD Equal,"JS Equal Level Strategy (, 14, 50, -50): order sell @ 4078 filled on KOLD. New strategy position is 0",2024-09-16T17:10:03Z
1562048005,"BATS:NVDA, 5m",5M NVDA Skew,"JS Skewed Level Strategy (, 14, 70, -30): order buy @ 2183 filled on NVDA. New strategy position is 2183",2024-09-16T15:25:00Z
1562039142,"BATS:KOLD, 5m",5M KOLD Equal,"JS Equal Level Strategy (, 14, 50, -50): order buy @ 4078 filled on KOLD. New strategy position is 4078",2024-09-16T15:07:33Z
1562048005,"BATS:NVDA, 5m",5M NVDA Skew,"JS Skewed Level Strategy (, 14, 70, -30): order sell @ 2190 filled on NVDA. New strategy position is 0",2024-09-16T14:50:00Z
1562053593,"BATS:OXY, 15m",15M OXY Skew,"JS Skewed Level Strategy (, 14, 70, -30): order buy @ 591 filled on OXY. New strategy position is 591",2024-09-16T13:45:02Z
1562048005,"BATS:NVDA, 5m",5M NVDA Skew,"JS Skewed Level Strategy (, 14, 70, -30): order buy @ 2190 filled on NVDA. New strategy position is 2190",2024-09-16T13:45:00Z
1562123597,"BATS:NKE, 2h",2HR NKE Equal,"JS Equal Level Strategy (, 14, 50, -50): order sell @ 1303 filled on NKE. New strategy position is 0",2024-09-16T13:30:03Z
1562137229,"BATS:NFLX, 1D",1D NFLX Skew,"JS Skewed Level Strategy (, 14, 70, -30): order buy @ 18199 filled on NFLX. New strategy position is 18199",2024-09-16T13:30:00Z
1562001747,"BITSTAMP:BTCUSD, 15m",15M BTC Skew,"JS Skewed Level Strategy (, 14, 70, -30): order buy @ 2.712693 filled on BTCUSD. New strategy position is 2.712693",2024-09-15T20:30:00Z
1562001747,"BITSTAMP:BTCUSD, 15m",15M BTC Skew,"JS Skewed Level Strategy (, 14, 70, -30): order sell @ 2.693404 filled on BTCUSD. New strategy position is 0",2024-09-15T13:45:00Z
1562001747,"BITSTAMP:BTCUSD, 15m",15M BTC Skew,"JS Skewed Level Strategy (, 14, 70, -30): order buy @ 2.693404 filled on BTCUSD. New strategy position is 2.693404",2024-09-15T06:00:04Z
1562001747,"BITSTAMP:BTCUSD, 15m",15M BTC Skew,"JS Skewed Level Strategy (, 14, 70, -30): order sell @ 2.691659 filled on BTCUSD. New strategy position is 0",2024-09-15T03:30:06Z
1562001747,"BITSTAMP:BTCUSD, 15m",15M BTC Skew,"JS Skewed Level Strategy (, 14, 70, -30): order buy @ 2.691659 filled on BTCUSD. New strategy position is 2.691659",2024-09-15T00:45:12Z
1562001747,"BITSTAMP:BTCUSD, 15m",15M BTC Skew,"JS Skewed Level Strategy (, 14, 70, -30): order sell @ 2.693452 filled on BTCUSD. New strategy position is 0",2024-09-14T22:00:01Z
1558488691,"BATS:SOXL, 2h",2HR SOXL  Equal,"JS MTO Strategy (, 14, 50, -50): order sell @ 113243 filled on SOXL. New strategy position is 0",2024-09-12T13:30:00Z
1561173569,"BATS:AAPL, 1h",1HR AAPL Skew,"JS MTO Strategy (, 14, 50, -50): order sell @ 594 filled on AAPL. New strategy position is 0",2024-09-13T18:15:00Z
1558538091,"BATS:PLTR, 2h",2HR PLTR Skew,"JS MTO Strategy (, 14, 50, -50): order buy @ 14565 filled on PLTR. New strategy position is 14565",2024-09-13T17:30:03Z
1559438232,"BATS:SVIX, 15m",15M SVIX Skew,"JS MTO Strategy (, 14, 50, -50): order sell @ 11600 filled on SVIX. New strategy position is 0",2024-09-12T19:45:02Z
1561543426,"BATS:DJT, 2h",2HR DJT Skew,"JS Skewed Level Strategy (, 14, 70, -30): order sell @ 18.51 for 40890 filled on DJT at 2024-10-07T17:30:00Z. New strategy position is 0",2024-10-07T17:30:01Z
